电影名称,类型,导演,演员,上映时间,简介,头图
荒野机器人,冒险 动画 科幻,克里斯·桑德斯,露皮塔·尼永奥 陈昊宇 张新成 佩德罗·帕斯卡,2024-09-20,本片改编自知名作家彼得·布朗畅销书《荒野机器人》，并由凭借《驯龙高手》《疯狂原始人》和《星际宝贝》获得奥斯卡最佳动画长片提名的克里斯·桑德斯担任编剧。 《荒野机器人》讲述了Rozzum 7134（简称“Roz”）的故事，她是一台为未来城市设计的机器人，却发现自己漂流到一座荒岛。面对恶劣环境、充满敌意的野生动物，Roz必须要学会融入岛上生态圈。随着故事的发展，Roz与岛上动物建立友好关系，并逐渐将这座荒岛当作自己的家。Roz还和她的伙伴们一起阻止了其制造商的入侵，后者试图以任何手段将她带回文明社会。在这个过程中，Roz成长为野生机器人，超越了程序对她的设定。,https://p0.pipi.cn/basicdata/54ecdedd807ddd21f00e13a48cbecf74136a6.jpg?imageView2/1/w/464/h/644
爱你很久很久,爱情 青春 喜剧,赖孟杰,李沐 曹佑宁 娄峻硕 林美秀,2024-11-01,你的青春里有没有一个忘不掉的人？阳光明媚的高中生王晓夏（李沐 饰）在一次偶然中对天才转校生程奕（曹佑宁 饰）一见钟情，无法克制的心跳，让晓夏开启高调追爱模式。而从小一起长大默默守护着她的柚子（娄峻硕 饰）也决定为自己争取一次。一边是天降男神，一边是竹马守护，十七岁的少年都怀揣着最炙热的爱意，晓夏又该如何抉择？ 爱是给勇敢者的奖励，2024年冬天第一部爱情电影，一定要和最最最爱的人一起看……,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cd8aea4ea4082bf731254835273efb.jpg?imageView2/1/w/464/h/644
姥姥的外孙,剧情,帕特·波尼蒂帕特,Billkin 乌萨·萨梅坎姆 彤达婉·奔提维此弓 莎琳雷特·托马斯,2024-08-23,泰国2024年票房冠军，东亚家庭图鉴。 自私的哥，窝囊的儿，小小的粥铺，绝症的她，一场疾病认清了家； 暴富的妹，辛劳的妈，渺茫的前途，无业的他，一次啃“姥”为爱留下。,https://p0.pipi.cn/basicdata/54ecdedd7e15bfecd89257bfd7f0975b0e99f.jpg?imageView2/1/w/464/h/644
小小的我,儿童,王心刚,林静 田小清 白小英楠,2005-01-01,栗欣，六岁，一个到了上学年龄却因为肢体残疾而被学校拒收在门外的小女孩，表达对校园的无限向往，只能是趴在自家阳台上，对着和自己年龄一般大小的同学们，流露着羡慕的眼神。造成小栗欣失去双手、双腿又不能长时间站立的，是她三岁时的一次车祸。骑摩托车的肇事者当场死亡，小栗欣顽强地活了过来，从此却失去了原本活泼、健康、淘气、美丽的童年。到现在，小栗欣每天晚上都浑身疼痛。医生暗地里跟栗欣的爸爸妈妈说过：这孩子活不长。活不长，也得活着，因为多活一天，能给爸爸妈妈多带来一天快乐。幼小的栗欣这么想着，越这么想着就越想上学。任何一个有爱心的老师，都不能逃避小栗欣为了上学流下的泪水。一年级（2）班班主任李老师顶着自家的困难，把小栗欣背进了自己的教室，介绍给全班的同学。栗欣的到来，最初除了引起其他同学的好奇以外没有什么特别之处。但是，老师和同学们慢慢发现，栗欣的顽强在潜移默化地影响着身边的每一个同学，这种变化在栗欣的同桌祖威——一个家庭豪富却缺乏家庭温暖的同学身上体现得尤为突出。祖威开始专心学习，开始变得有爱心。栗欣不仅改变着祖威，还用顽强的生命挽救了祖威的叔叔——一个处于运动巅峰却不慎下肢瘫痪的运动员。顽强的生命，让认识栗欣的每一个人为之感动；学习的刻苦，每每让妈妈不忍卒睹，流下歉疚的眼泪；善良的心灵，让来自河南农村、靠捡废品维持生计的父亲将儿子送回了学校……。像萤火虫一样，小栗欣用短暂的生命照亮着怕黑的伙伴，自己却变成了一道虹。生命的最后时刻，小栗欣勇敢地面对，让每一个有权利活着、还将幸福快乐地活下去的人们，深受鼓舞、永远铭记。如果我们执著于生命的痛苦，我们的生命就会痛苦不堪，如果我们专注于生命的喜悦，我们的生命可能就会充满愉悦，重要的不是我们的生命中经受了多少痛苦和喜悦，而是我们对待生命的态度。影片《小小的我》正是选取了这样一个关于“对待生命态度”的主题，让每一个拥有生命、渴望生命的人去珍惜生命、扳靓生命，让生命为之感动。影片根据吴晓林的同名长篇小说改编而成，该小说曾两度被录制为广播小说在电台播出；影片中两位小演员的表现都得到导演王心丽的高度称赞。 “栗欣”的扮演者林静5岁开始在热播电视连续剧《我的兄弟姐妹》中扮演老四“齐妙”（儿时）；“祖威”的扮演者白小英楠小小年纪就在《爸爸味道》、《21天》、《决不饶恕》、《香气迷人》等影视剧中都有出彩的表现。跟大明星演而优则“广”一样，名声在外的白小英楠还是很多知名产品的广告代言人。为了表现人物、强化主题，影片创作主创人员还专门创作了两首儿歌：片头插曲《悄悄享受幸福》和主题歌《别说再见，萤火虫》。片头、片尾的动漫和音乐，因此而成为构成影片精彩华章的重要组成部分。,https://p0.pipi.cn/mmdb/d2dad592b12923c9fde7aa454b0493ec3b596.jpg?imageView2/1/w/464/h/644
阁楼,恐怖 惊悚,王法,王筱溪 刘小京 张艳艳 赵兵,2024-12-13,《阁楼》讲述了一个看似普通独居的女人，夜深人静时阁楼之上却经常会传来令人不安的异响。影片中的红衣女子，身后藏着一个诡异的秘密，每当她的身影在夜幕中若隐若现，都让人不寒而栗。她的出现似乎与那些阁楼上的异响有着千丝万缕的联系，随着而秘密的揭开也将带来一连串令人震惊的事件。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143e75c277e1e3279798ef1cd980b13.jpg?imageView2/1/w/464/h/644
长津湖,剧情 历史 战争,陈凯歌,吴京 易烊千玺 段奕宏,2021-09-30,1950年，中国人民志愿军部队与美军在朝鲜长津湖地区交战，中国人民志愿军第9兵团将美军1个多师分割包围于长津湖地区，歼敌1.3万余人，扭转了战场势态。这次战役收复了 三八线以北的东部广大地区，是扭转局势的关键一战，而中国人民志愿军也付出了惨痛的牺牲，在零下三十多摄氏度的极端天气中，很多先烈是以端着枪的姿势被冻僵，体现了志愿军战士服从命令、视死如归，冻成冰雕也不退缩的革命精神 。,https://p0.pipi.cn/mmdb/d2dad592b12f2a281eb535319dc595f6611ab.jpg?imageView2/1/w/464/h/644
云边有个小卖部,剧情,张嘉佳,彭昱畅 周也 艾丽娅 陈贤恩,2024-06-22,普通青年刘十三，在城市中迷失自我，被外婆带回了故乡，一个云边的小镇。童年好友程霜和外婆陪伴着他，刘十三度过了一段平静的时光。他沿着祖祖辈辈留下的痕迹，认真倾听小镇的呼吸，在伸手能摸到云的小卖部，在高山与大海之间，在院子的桂花树下，逐渐走出往日的迷惘。有些人刻骨铭心，没几年就遗忘。有些人不论生死，都陪在你身旁。,https://p0.pipi.cn/basicdata/54ecde3387ac7e11e592351b4b76c7e39bb87.jpg?imageView2/1/w/464/h/644
你的名字。,动画 剧情,新海诚,上白石萌音 佟心竹 神木隆之介 王祯,2016-12-02,故事背景发生在适逢千年一遇彗星到访的日本，生活在日本小镇的女高中生宫水三叶对于担任镇长的父亲所举行的选举运动，还有家传神社的古老习俗感到无聊乏味，对大城市充满憧憬的她，甚至幻想着“来世请让我做东京的帅哥吧！”。忽然有一天，三叶做了个自己变成男孩子的梦，在陌生的房间，面对陌生的朋友，以及东京的街道。虽然感到困惑，但少女对于能来到朝思暮想的东京还是充满喜悦。与此同时，生活在东京的男高中生立花泷也做了个奇怪的梦，他在一个从未去过的深山小镇中，变成了女高中生。少男少女就这样在梦中邂逅了彼此，并带着“不论你在世界何方我一定会去见你”的信念去寻找彼此 。,https://p0.pipi.cn/mmdb/54ecde717a3923d7c37a35fa96e6a978e6fda.jpg?imageView2/1/w/464/h/644
某种物质,剧情 恐怖,科拉莉·法尔雅,黛米·摩尔 玛格丽特·库里 丹尼斯·奎德 戈雷·阿布拉姆斯,2024-09-20,"曾风光无限的电视台健美操教练伊丽莎白因容颜老去,面临被公司抛弃的危机。偶然间，她得知一项秘密实验，注射“完美物质”后能通过细胞复制创造年轻的自己。在诱惑下，伊丽莎白接受了实验。复制体苏诞生，参加海选后迅速走红，可苏沉迷玩乐，不断推迟轮换，让伊丽莎白加速衰老。最终，两人矛盾爆发，为了争夺“人生”大打出手。",https://p0.pipi.cn/basicdata/54ecdedd8d302f92358d339a3cd1720cdbe0a.jpg?imageView2/1/w/464/h/644
镖人：风起大漠,武侠 动作,袁和平,吴京 谢霆锋 李连杰 于适,,一趟特殊的押镖任务，打破了大漠的平静，各方入局，甚至搅动了天下风云……,https://p0.pipi.cn/basicdata/54ecde3311e923338fc7ed1daf8588c3498bc.jpg?imageView2/1/w/464/h/644
送你一朵小红花,剧情 家庭,韩延,易烊千玺 刘浩存 朱媛媛 高亚麟,2020-12-31,一个声称能“看见未来”的患癌男孩韦一航（ 易烊千玺 饰），遇见了一个相信“平行世界”的患癌女孩马小远（ 刘浩存 饰），他们都是 脑瘤患者，但性格和心态迥异：韦一航经历了开颅手术之后，时刻面对死亡的阴冷召唤，复发的恐惧如影相随，变得有些愤世嫉俗，但又颓唐自闭；马小远却能以爽朗豁达、活泼开朗的性格让周围的人如沐春风。马小远通过只有8个观众的幼稚直播，俘获了韦一航的心。韦一航走出麻木冷漠与自暴自弃，开始懂得父母的苦衷与不易，从厌世到珍惜活着的每一秒钟 。,https://p0.pipi.cn/mmdb/d2dad5927a3be1d2361789062615c8f245395.jpg?imageView2/1/w/464/h/644
满江红,悬疑 喜剧 剧情,张艺谋,沈腾 易烊千玺 张译 雷佳音,2023-01-22,张艺谋最新高口碑悬疑喜剧，沈腾、易烊千玺、张译、雷佳音、岳云鹏赴局探案有惊有喜，震撼演绎中国式传奇故事！南宋绍兴年间，岳飞死后四年，秦桧率兵与金国会谈。会谈前夜，金国使者死在宰相驻地，所携密信也不翼而飞。小兵张大（沈腾 饰）与亲兵营副统领孙均（易烊千玺 饰）机缘巧合被裹挟进这巨大阴谋之中，宰相秦桧（雷佳音 饰）命两人限一个时辰之内找到凶手。伴随危机四伏的深入调查，宰相府总管何立（张译 饰）、副总管武义淳（岳云鹏 饰）、舞姬瑶琴（王佳怡 饰）等人卷入局中，案件的背后似乎隐藏着一场更大的阴谋。局中有局、人心叵测，一夜之间风云变幻，各方势力暗流涌动……,https://p0.pipi.cn/mmdb/fb7386028ea51bb12dd2363a4352b3f238c4e.jpg?imageView2/1/w/464/h/644
这个杀手不太冷,剧情 动作 悬疑,吕克·贝松,让·雷诺 娜塔莉·波特曼 加里·奥德曼 彼得·阿佩尔,2024-11-01,住在纽约贫民区的意大利人里昂（让·雷诺 饰）是一名孤独的职业杀手。一天，邻居家的小姑娘玛蒂尔达（娜塔莉·波特曼 饰）敲开了他的房门，央求在他家里暂避杀身之祸。小姑娘的家人是警方缉毒组的眼线，因为贪污了一小包毒品而遭到黑警斯坦菲尔德（加里·奥德曼 饰）残忍杀害。玛蒂尔达得到里昂的救助之后，在他那里学会了使用枪支，里昂也从玛蒂尔达那里学会了法文，在这个无依无靠的世界从彼此身上寻找到了温暖。 然而他们的人生注定不平静，玛蒂尔达想要报仇，跟踪黑警后反而被抓住，里昂及时赶到将她救回，这次行动也让黑警关注到了他们的动向。狡猾的斯坦菲尔德紧盯二人，想要将他们逮捕，冲突升级让里昂和玛蒂尔达不得不分开逃跑，没想到这次分开竟然是诀别......,https://p0.pipi.cn/mmdb/54ecde92339923b12d807750dae3398ce9cce.jpg?imageView2/1/w/464/h/644
逆行人生,剧情,徐峥,史力嘉 徐峥 辛芷蕾 王骁,2024-08-09,曾经意气风发的高志垒(徐峥 饰)在生活的重压下，中年“失速”偏离了原本的生活轨迹，一时意气用事的决定，让他瞬间从家人的“小骄傲”变成了社会的“边角料”。然而，他未曾料到，这仅是他“逆行人生”道路上的起点。接连不断的变故如疾风骤雨般袭来，迫使他不得不重新面对自我。当生活的重担真正压肩，他选择成为一名外卖员，从新的起点重新出发，穿梭于都市大街小巷的高志垒在路上结识了一众志同道合的“骑士”伙伴，在共度的时光里他深切的体会到了人间的冷暖真情，逐渐在这条充满磨砺的“逆行道”中找回曾经丢失的勇气与信念，重新定义人生新的方向。,https://p0.pipi.cn/basicdata/54ecde33d7c51b7e12be2abd5c5525b7cd6f3.jpg?imageView2/1/w/464/h/644
天地辽阔,剧情,杨柳松,王茜童 吴骏超 陈兵 林文涛,2024-12-06,在青旅结识的四个小伙伴，他们一同前往被誉为“地球最后秘境”的雅鲁藏布大峡谷，寻找一只珍贵蝴蝶。在路上，他们化解分歧，包容彼此，收获友谊，靠绝不妥协的信念战胜了种种困难，完成了寻蝶之旅。本片全程实拍，零替身，极致的大自然，超出了普通人对山野的想象，更是演绎了一场波澜壮阔的 探险之旅。而真正的探险，永远发生在人类的心灵深处。生命亦如天地般辽阔。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c15d77e19bfc8be726706cf7b62a74.jpg?imageView2/1/w/464/h/644
第二十条,喜剧 剧情 家庭,张艺谋,雷佳音 马丽 赵丽颖 高叶,2024-02-10,这一年的不容易谁能懂？自打挂职到市检察院，韩明（雷佳音 饰）的糟心事就接二连三。儿子韩雨辰（刘耀文 饰）打了校领导（张译 饰）儿子并拒绝道歉，妻子李茂娟（马丽 饰）义愤填膺继而揍了校领导，补刀成功；搭档吕玲玲（高叶 饰）分歧不断，案件久拖不决；又一起案件相关人郝秀萍（赵丽颖 饰）被逼入绝境，万分危急。情与法的较量在展开，事业与家庭的平衡在进行，韩明决定赌上一切，用自己的方式给公平和正义一个说法…,https://p0.pipi.cn/mmdb/54ecde8d2ff51b8d33300beb713232e1932ab.jpg?imageView2/1/w/464/h/644
我谈的那场恋爱,爱情 喜剧,何妙祺,吴君如 张天赋 邓丽欣 陈辉虹,2024-11-15,香港中秋档票房冠军，初冬爱情喜剧口碑佳作！身家数亿的高知女医生余笑琴（吴君如 饰）无意中在社交软件上结识了帅气多金的“法国大叔”。 以“消遣”的心态试水网聊的她，却逐渐被对方实时给到的情绪价值攻略。余笑琴本想好好“谈爱”，不料对方马甲下竟是一事无成的小鲜肉（张天赋 饰）与调情专家琼姐（邓丽欣 饰）等人组成的精密情骗团队。她无意入局，他们却处心积虑，一场情感较量即将展开……,https://p0.pipi.cn/basicdata/54ecde51c69b1221f0b86030daa4572c09b77.jpg?imageView2/1/w/464/h/644
大鱼海棠,动画,梁旋,季冠霖 苏尚卿 许魏洲,2016-07-08,所有活着的人类，都是海里一条巨大的鱼；出生的时候他们从海的此岸出发。他们的生命就像横越大海，有时相遇，有时分开……死的时候，他们便到了岸，各去各的世界。 四十五亿年前，这个星球上，只有一片汪洋大海，和一群古老的大鱼。在与人类世界平行的空间里，生活着一个规规矩矩、遵守秩序的族群，他们为神工作，掌管世界万物运行规律，也掌管人类的灵魂。他们的天空与人类世界的大海相连。他们既不是神，也不是人，他们是“其他人”。十六岁生日那天，居住在“神之围楼”里的一个名叫椿（季冠霖 配音）的女孩变作一条海豚到人间巡礼，被大海中的一张网困住，一个人类男孩因为救她而落入深海死去。为了报恩，为了让人类男孩复活，她需要在自己的世界里，历经种种困难与阻碍，帮助死后男孩的灵魂——一条拇指那么大的小鱼，成长为一条比鲸更巨大的鱼并回归大海。,https://p0.pipi.cn/mmdb/fb7386dd3389233ba3338fbde0992586adb23.jpg?imageView2/1/w/464/h/644
狮子王,动画 冒险 歌舞 剧情,罗杰·阿勒斯,马修·布罗德里克 尼基塔·卡兰姆 詹姆斯·厄尔·琼斯,1995-07-15,辛巴是荣耀国的小王子，他的父亲木法沙是一个威严的国王。然而叔叔刀疤却对木法沙的王位觊觎已久。要想坐上王位宝座，刀疤必须除去小王子，于是，刀疤利用种种借口让辛巴外出，然后伺机让鬣狗军团大开杀戒，无奈被木法沙及时来救。后来，在反复的算计下，木法沙惨死在刀疤手下；事后，刀疤别有用心的劝辛巴离开，一方面派鬣狗将他赶尽杀绝，但辛巴却逃出生天。辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们见证了辛巴长成雄壮的大狮子。不久，辛巴意外遇上了少年时的玩伴娜娜，娜娜告知辛巴荣耀国遭遇灾难并鼓励他回去复国，但辛巴却不愿意。后来在法师拉飞奇的引导下，辛巴和父亲的英灵会面并下决心复国。在接下来一场复国救民的斗争中，辛巴领会了责任的真谛，并在朋友和亲人的帮助下获得胜利 。,https://p0.pipi.cn/mmdb/d2dad592c7e7e12c9551ba4939e20711be8be.jpg?imageView2/1/w/464/h/644
被我弄丢的你,爱情 剧情,韩琰,檀健次 张婧仪 蒋龙 刘恋,2024-03-08,2010年夏天，高考考场上，白晓宇第一次遇见王斤斤，就把她给“弄丢”了。 四年后，他们在毕业季的求职人潮中意外重逢，然后相恋。 2018年，相识八年、相爱五年的他们站在婚姻的门前踌躇不前了。 他们彼此相爱却又难逃现实的重重羁绊，白晓宇会再一次弄丢王斤斤吗……,https://p0.pipi.cn/mmdb/54ecde8d338807b86017890eb5ebcca70f917.jpg?imageView2/1/w/464/h/644
